,mean_nni,sdnn,sdsd,nni_50,nni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,encode
80,927.625,24.79831503492582,23.884586439537827,0,3,23.892856075165447,930.4,72.79999999999995,0.025757020428692032,0.026733124953430342,64.72224574454431,67.66662907409496,62.53256904637832,1.6374669891111058,0
81,931.9375,26.632254209617972,23.662490768888933,0,3,25.033691583258616,937.8499999999999,72.79999999999995,0.026861985469260132,0.028577296449191037,64.42890529047301,67.66662907409496,62.53256904637832,1.7550737476861733,0
82,934.7750000000001,23.720440251274535,27.351513781186743,0,4,27.815103810699668,937.8499999999999,72.79999999999995,0.02975593464812352,0.025375561232675814,64.22362076394884,67.66662907409496,62.53256904637832,1.561493119377656,0
83,941.0625,13.71182362572015,21.94463348464746,0,3,21.94802301542703,939.2,37.39999999999998,0.0233225986748245,0.014570577008137239,63.76956107312347,65.06886454831363,62.53256904637832,0.8687862821560467,0
84,943.4,13.985502697947103,22.54638755625244,0,3,22.60720491979746,946.25,37.39999999999998,0.023963541360819865,0.014824573561529683,63.612045455492094,65.06886454831363,62.53256904637832,0.8870270573920727,0
85,938.6374999999999,19.97040220640823,27.435311671832945,0,4,28.58591061544632,944.05,56.200000000000045,0.030454686303760848,0.02127594753715703,63.94807698974964,66.42311524410495,62.53256904637832,1.2883238957465406,0
86,936.2750000000001,18.188202612839863,31.679330801012853,0,5,31.71482303277131,938.8,53.30000000000007,0.03387340581855898,0.019426132934063027,64.10513970968591,66.42311524410495,62.72214091574325,1.1780544516079887,0
87,936.0124999999999,17.957365182167308,30.31710637207172,0,4,30.48702300042713,938.8,53.30000000000007,0.0325711707914447,0.01918496300227541,64.1225894176886,66.42311524410495,62.72214091574325,1.1637595075682345,0
88,934.375,19.481328056812334,30.708198732386705,0,4,31.322196602409633,938.8,53.30000000000007,0.033522083320304624,0.020849581866822564,64.23868778922726,66.42311524410495,62.72214091574325,1.2635891695462935,0
89,932.7124999999999,17.809502880685447,30.489141593394233,0,4,30.63919058983121,938.8,49.700000000000045,0.03284955502347316,0.019094311356056073,64.34923115747958,66.42311524410495,62.95907660020986,1.1605636752163822,0
90,936.25,18.206592212712415,30.175838422317238,0,4,30.2364963956758,941.95,49.700000000000045,0.03229532325305826,0.019446293418117398,64.10703723035454,66.42311524410495,62.95907660020986,1.1869842705582645,0
